horizon_azimuth,horizon_elevation
0.0,3.1
7.5,3.1
15.0,3.1
22.5,3.1
30.0,3.1
37.5,4.6
45.0,4.6
52.5,4.6
60.0,5.0
67.5,5.0
75.0,4.6
82.5,4.6
90.0,4.6
97.5,4.6
105.0,6.1
112.5,8.0
120.0,11.8
127.5,11.8
135.0,11.8
142.5,11.8
150.0,14.5
157.5,14.5
165.0,14.5
172.5,14.5
180.0,14.5
187.5,14.5
195.0,14.5
202.5,14.5
210.0,14.5
217.5,12.6
225.0,12.6
232.5,12.6
240.0,12.6
247.5,7.3
255.0,5.0
262.5,3.1
270.0,3.1
277.5,3.1
285.0,1.9
292.5,0.0
300.0,0.0
307.5,0.4
315.0,0.8
322.5,1.1
330.0,1.5
337.5,2.3
345.0,2.7
352.5,3.1
