horizon_azimuth,horizon_elevation
0.0,1.9
7.5,2.3
15.0,3.1
22.5,3.1
30.0,2.7
37.5,2.7
45.0,2.7
52.5,2.7
60.0,2.7
67.5,2.7
75.0,2.7
82.5,2.7
90.0,2.7
97.5,3.4
105.0,5.3
112.5,6.1
120.0,9.5
127.5,9.5
135.0,9.5
142.5,9.5
150.0,11.1
157.5,11.1
165.0,11.1
172.5,13.0
180.0,13.0
187.5,13.0
195.0,12.2
202.5,12.2
210.0,12.2
217.5,7.6
225.0,7.6
232.5,6.9
240.0,6.9
247.5,2.3
255.0,0.0
262.5,0.0
270.0,0.0
277.5,0.0
285.0,0.0
292.5,0.0
300.0,0.0
307.5,0.0
315.0,0.0
322.5,0.0
330.0,0.0
337.5,0.4
345.0,1.5
352.5,1.9
