horizon_azimuth,horizon_elevation
0.0,0.0
7.5,0.0
15.0,0.0
22.5,0.0
30.0,0.0
37.5,0.0
45.0,0.0
52.5,0.0
60.0,0.0
67.5,0.0
75.0,0.0
82.5,0.4
90.0,0.0
97.5,0.0
105.0,0.4
112.5,0.8
120.0,5.0
127.5,5.0
135.0,8.4
142.5,9.2
150.0,9.9
157.5,10.7
165.0,10.3
172.5,9.9
180.0,9.9
187.5,9.2
195.0,11.1
202.5,11.1
210.0,11.1
217.5,11.1
225.0,11.1
232.5,11.1
240.0,11.1
247.5,9.9
255.0,8.8
262.5,8.8
270.0,8.8
277.5,8.8
285.0,8.8
292.5,8.8
300.0,8.8
307.5,8.8
315.0,8.8
322.5,8.8
330.0,0.0
337.5,0.0
345.0,0.0
352.5,0.0
