horizon_azimuth,horizon_elevation
0.0,0.0
7.5,0.0
15.0,0.0
22.5,0.0
30.0,0.0
37.5,0.0
45.0,0.0
52.5,0.0
60.0,0.0
67.5,0.0
75.0,0.0
82.5,0.4
90.0,0.0
97.5,0.0
105.0,0.0
112.5,1.9
120.0,3.1
127.5,3.1
135.0,6.9
142.5,9.5
150.0,10.3
157.5,11.1
165.0,11.5
172.5,11.1
180.0,10.7
187.5,10.3
195.0,9.5
202.5,9.5
210.0,9.2
217.5,9.2
225.0,9.2
232.5,9.2
240.0,9.2
247.5,9.2
255.0,8.4
262.5,6.1
270.0,6.1
277.5,6.1
285.0,6.1
292.5,3.4
300.0,3.4
307.5,3.4
315.0,3.4
322.5,3.4
330.0,0.0
337.5,0.0
345.0,0.0
352.5,0.0
