horizon_azimuth,horizon_elevation
0.0,2.3
7.5,2.3
15.0,3.1
22.5,3.4
30.0,3.1
37.5,2.7
45.0,2.7
52.5,2.7
60.0,2.7
67.5,2.7
75.0,2.7
82.5,2.7
90.0,2.7
97.5,3.1
105.0,5.3
112.5,8.0
120.0,10.7
127.5,10.7
135.0,10.7
142.5,10.7
150.0,13.4
157.5,13.4
165.0,13.4
172.5,13.8
180.0,13.8
187.5,13.8
195.0,10.3
202.5,10.3
210.0,10.3
217.5,4.6
225.0,4.6
232.5,4.6
240.0,4.6
247.5,0.0
255.0,0.0
262.5,0.0
270.0,0.0
277.5,0.0
285.0,0.0
292.5,0.0
300.0,0.0
307.5,0.0
315.0,0.0
322.5,0.0
330.0,0.0
337.5,0.0
345.0,1.1
352.5,1.9
