horizon_azimuth,horizon_elevation
0.0,0.0
7.5,0.0
15.0,0.0
22.5,0.0
30.0,0.0
37.5,1.9
45.0,1.9
52.5,1.9
60.0,1.9
67.5,1.9
75.0,3.1
82.5,3.4
90.0,4.6
97.5,8.4
105.0,9.5
112.5,11.5
120.0,11.5
127.5,10.3
135.0,10.3
142.5,10.3
150.0,10.3
157.5,9.2
165.0,8.0
172.5,7.3
180.0,5.7
187.5,5.7
195.0,3.8
202.5,3.8
210.0,3.8
217.5,0.8
225.0,0.8
232.5,0.8
240.0,0.8
247.5,0.8
255.0,0.8
262.5,0.8
270.0,0.8
277.5,0.8
285.0,0.8
292.5,0.8
300.0,0.8
307.5,0.8
315.0,0.8
322.5,0.8
330.0,0.0
337.5,0.0
345.0,0.0
352.5,0.0
