horizon_azimuth,horizon_elevation
0.0,0.0
7.5,0.8
15.0,0.8
22.5,2.7
30.0,2.7
37.5,5.3
45.0,5.3
52.5,5.3
60.0,5.3
67.5,5.3
75.0,5.3
82.5,5.3
90.0,5.3
97.5,5.3
105.0,5.3
112.5,5.3
120.0,5.3
127.5,5.3
135.0,5.3
142.5,5.3
150.0,1.1
157.5,1.1
165.0,0.0
172.5,0.0
180.0,0.0
187.5,0.4
195.0,0.0
202.5,0.4
210.0,0.4
217.5,0.4
225.0,0.4
232.5,0.4
240.0,0.8
247.5,0.8
255.0,1.5
262.5,1.9
270.0,2.3
277.5,2.7
285.0,1.1
292.5,0.8
300.0,0.8
307.5,0.4
315.0,0.4
322.5,0.8
330.0,0.8
337.5,0.4
345.0,1.1
352.5,1.1
