type	latitude	longitude	altitude (m)
T	45.484780900	-73.566326300	20.3		
T	45.484764500	-73.566351300	20.3		
T	45.484747300	-73.566370500	20.3		
T	45.484722700	-73.566387500	20.3		
T	45.484674400	-73.566423300	20.3		
T	45.484631200	-73.566453800	20.2		
T	45.484604500	-73.566478300	20.2		
T	45.484546200	-73.566532400	20.2		
T	45.484523800	-73.566561600	20.2		
T	45.484498800	-73.566594300	20.2		
T	45.484441200	-73.566672800	20.1		
T	45.484395200	-73.566740800	20.1		
T	45.484346500	-73.566812700	19.9		
T	45.484271800	-73.566927500	20.1		
T	45.484206500	-73.567028000	20.2		
T	45.484147400	-73.567112900	20.2		
T	45.483995000	-73.567331800	20.1		
T	45.483933000	-73.567460500	20.2		
T	45.483907700	-73.567512900	20.2		
T	45.483881100	-73.567566600	20.2		
T	45.483579900	-73.567995800	20.3		
T	45.483503300	-73.568093100	20.0		
T	45.483358200	-73.568270500	20.1		
T	45.483322400	-73.568314200	20.1		
T	45.483143300	-73.568527500	20.1		
T	45.483079500	-73.568605500	20.2		
T	45.483034900	-73.568659700	20.2		
T	45.482899300	-73.568824500	20.2		
T	45.482833300	-73.568903000	20.3		
T	45.482707200	-73.569040000	20.1		
T	45.482613000	-73.569135700	20.0		
T	45.482546800	-73.569196600	20.0		
T	45.482491700	-73.569246500	20.0		
T	45.482432900	-73.569304800	19.9		
T	45.482354300	-73.569397200	19.9		
T	45.482252300	-73.569532900	20.0		
T	45.482129800	-73.569746400	20.2		
T	45.482074200	-73.569830000	20.2		
T	45.482021200	-73.569910400	20.2		
T	45.482002200	-73.569936100	20.2		
T	45.481966000	-73.569985100	20.2		
T	45.481647300	-73.570371800	20.1		
T	45.481594700	-73.570440400	20.0		
T	45.481492000	-73.570574600	20.0		
T	45.481285300	-73.570847300	20.0		
T	45.481199000	-73.570945700	19.9		
T	45.481056100	-73.571120200	19.9		
T	45.481012300	-73.571173700	19.9		
T	45.480774100	-73.571438600	19.9		
T	45.480773400	-73.571439400	19.9		
T	45.480560400	-73.571647200	19.9		
T	45.480537400	-73.571686100	19.9		
T	45.480506600	-73.571751500	19.9		
T	45.480508100	-73.571904500	19.9		
T	45.480528700	-73.572130900	20.1		
T	45.480509400	-73.572215800	20.1		
T	45.480496300	-73.572253000	20.1		
T	45.480486300	-73.572277100	20.1		
T	45.480473500	-73.572302900	20.1		
T	45.480444500	-73.572348500	20.0		
T	45.480442100	-73.572351400	20.0		
T	45.480366600	-73.572442300	20.1		
T	45.480305200	-73.572517700	20.1		
T	45.480169300	-73.572684500	20.1		
T	45.480116800	-73.572729100	20.2		
T	45.480079000	-73.572768300	20.3		
T	45.480043500	-73.572806200	20.4		
T	45.480024200	-73.572817300	20.4		
T	45.479992700	-73.572828700	20.3		
T	45.479958400	-73.572831000	20.3		
T	45.479921200	-73.572826900	20.2		
T	45.479833700	-73.572798000	20.1		
T	45.479696900	-73.572761300	20.0		
T	45.479659700	-73.572757300	19.9		
T	45.479626800	-73.572758800	19.9		
T	45.479605500	-73.572766800	19.9		
T	45.479586800	-73.572778200	19.9		
T	45.479565600	-73.572795900	19.9		
T	45.479544400	-73.572821500	19.9		
T	45.479416500	-73.573001900	19.9		
T	45.479376900	-73.573056500	19.9		
T	45.479190700	-73.573320500	19.9		
T	45.479157500	-73.573357300	19.9		
T	45.479109300	-73.573410700	19.9		
T	45.479018200	-73.573519600	19.9		
T	45.478912500	-73.573645800	19.9		
T	45.478870000	-73.573699300	19.9		
T	45.478800700	-73.573777600	19.9		
T	45.478659700	-73.573936800	20.0		
T	45.478518700	-73.574096100	20.1		
T	45.478383600	-73.574248600	20.1		
T	45.478377900	-73.574255800	20.1		
T	45.478345400	-73.574296800	20.1		
T	45.478280600	-73.574378400	20.1		
T	45.478255900	-73.574406400	20.1		
T	45.478181400	-73.574503000	20.1		
T	45.477996500	-73.574742700	20.0		
T	45.477904700	-73.574851300	19.9		
T	45.477777800	-73.574998600	20.1		
T	45.477771600	-73.575002700	20.1		
T	45.477739400	-73.575042500	20.1		
T	45.477566400	-73.575148500	19.9		
T	45.477493300	-73.575189800	20.0		
T	45.477414400	-73.575228500	19.9		
T	45.477368500	-73.575248600	19.9		
T	45.477344600	-73.575267000	19.9		
T	45.477314900	-73.575295300	19.9		
T	45.477273700	-73.575344900	19.8		
T	45.476954800	-73.575855100	20.1		
T	45.476934900	-73.575862500	20.1		
T	45.476916900	-73.575872500	20.1		
T	45.476846200	-73.575916200	20.0		
T	45.476815600	-73.575940700	19.9		
T	45.476793700	-73.575965300	19.9		
T	45.476665000	-73.576109900	20.1		
T	45.476653200	-73.576125200	20.1		
T	45.476520000	-73.576297600	19.9		
T	45.476508800	-73.576312000	19.9		
T	45.476427300	-73.576419300	19.9		
T	45.476387700	-73.576471300	19.9		
T	45.476301500	-73.576584400	19.9		
T	45.476252500	-73.576640500	19.9		
T	45.476181600	-73.576721700	19.8		
T	45.476108700	-73.576794100	19.9		
T	45.475961100	-73.576940800	19.9		
T	45.475926200	-73.576975400	19.8		
T	45.475814600	-73.577089500	19.9		
T	45.475713500	-73.577192900	19.9		
T	45.475632900	-73.577281700	19.9		
T	45.475602500	-73.577319900	19.9		
T	45.475555100	-73.577396600	19.9		
T	45.475505400	-73.577489300	20.0		
T	45.475477400	-73.577544900	20.0		
T	45.475466800	-73.577570200	19.9		
T	45.475441600	-73.577625900	19.9		
T	45.475253600	-73.577803000	20.4		
T	45.475069100	-73.577975500	20.5		
T	45.474756100	-73.578269500	20.9		
T	45.474605800	-73.578410500	20.9		
T	45.474590500	-73.578424900	20.9		
T	45.474458900	-73.578558500	20.9		
T	45.474238900	-73.578782000	20.9		
T	45.473821200	-73.579170300	20.9		
T	45.473711900	-73.579272000	20.8		
T	45.473259800	-73.579692200	20.6		
T	45.472762000	-73.580155200	20.4		
T	45.472538400	-73.580367200	20.3		
T	45.472380600	-73.580503100	20.1		
T	45.472319800	-73.580548600	20.1		
T	45.472282100	-73.580566900	20.1		
T	45.472253600	-73.580576800	20.1		
T	45.472216800	-73.580590000	20.1		
T	45.472117000	-73.580613300	20.1		
T	45.472040700	-73.580633700	20.1		
T	45.471950500	-73.580675600	20.0		
T	45.472125700	-73.581120000	20.9		
T	45.472213900	-73.581343600	20.9		
T	45.472302000	-73.581567100	20.8		
T	45.472390200	-73.581790700	20.5		
T	45.471743500	-73.582440000	20.6		
T	45.471668600	-73.582513800	20.5		
T	45.471520600	-73.582659600	20.6		
T	45.471334600	-73.582811200	20.7		
T	45.471299500	-73.582844600	20.7		
T	45.471043300	-73.583105000	20.6		
T	45.470763900	-73.583434700	20.5		
T	45.470712400	-73.583495500	20.6		
T	45.470496800	-73.583767200	20.6		
T	45.470367600	-73.583955900	20.7		
T	45.470241900	-73.584139500	20.5		
T	45.470239500	-73.584143000	20.5		
T	45.469966500	-73.584554300	20.6		
T	45.469888000	-73.584667600	20.7		
T	45.469633300	-73.585065600	20.8		
T	45.469628000	-73.585076200	20.8		
T	45.469576700	-73.585178600	20.8		
T	45.469521900	-73.585280700	20.6		
T	45.469521000	-73.585282300	20.5		
T	45.469463200	-73.585390000	20.4		
T	45.469410600	-73.585489600	20.5		
T	45.469195600	-73.585892200	20.6		
T	45.469194300	-73.585894700	20.6		
T	45.469088000	-73.586101600	20.6		
T	45.468981700	-73.586308500	20.6		
T	45.468938700	-73.586392100	20.6		
T	45.468890500	-73.586495600	20.6		
T	45.468881000	-73.586517100	20.6		
T	45.468879800	-73.586519700	20.6		
T	45.468789700	-73.586714200	20.8		
T	45.468781300	-73.586731700	20.8		
T	45.468565200	-73.587180700	20.5		
T	45.468491200	-73.587344100	20.7		
T	45.468449700	-73.587432800	20.6		
T	45.468399400	-73.587544500	20.5		
T	45.468369000	-73.587612100	20.5		
T	45.468279000	-73.587796000	20.5		
T	45.468258500	-73.587838500	20.5		
T	45.468179700	-73.588009500	20.5		
T	45.468152300	-73.588069400	20.5		
T	45.468099100	-73.588203600	20.5		
T	45.468096900	-73.588209100	20.5		
T	45.468009300	-73.588459300	20.6		
T	45.467992600	-73.588507200	20.6		
