lat,long,altitude,Dlat,Dlong,Daltitude,position,distance,direction,Dposition,slope,TMY_GridID,Horizon_GridID,timezone
45.51303,-73.52736,11.3,0.0001900000000034,3.999999999848569e-05,-0.200000000000001,0.0,0.0,1.3633001003710024,15.45839973285533,-0.0129372279930047,183;-295,54616;-88233,America/Toronto
45.51307,-73.52717,11.1,0.0001949999999979,4.500000000007276e-05,-0.2000000000000001,15.45839973285533,15.459693473699334,1.3439974787383495,16.00217176777096,-0.0124976528210559,183;-295,54616;-88233,America/Toronto
45.51312,-73.52697,10.9,0.0002199999999987,-0.000164999999999,0.75,32.00434353554192,32.006845987701944,2.214297435588181,31.37666981293887,0.0238985594630465,183;-295,54616;-88233,America/Toronto
45.51274,-73.52673,12.6,0.0002449999999996,-0.0003750000000017,0.5999999999999996,78.21173935873307,78.24550328612554,2.562877708679516,45.864115104708375,0.0130813768837704,183;-295,54616;-88233,America/Toronto
45.51237,-73.52648,12.1,0.0002950000000012,-0.0005249999999996,-1.25,123.73257374495869,123.76908358489136,2.629655477280483,62.82019255313885,-0.0198954351519288,183;-295,54615;-88232,America/Toronto
45.51169,-73.52614,10.1,0.0002000000000066,-0.0003849999999978,-1.0999999999999996,203.8521244650108,203.91359311351096,2.6624823595135467,45.582664642130496,-0.0241272982604085,183;-295,54615;-88232,America/Toronto
45.5116,-73.52608,9.9,5.000000000165983e-05,-8.500000000211116e-05,-0.0999999999999996,214.8979030292197,214.96118217581488,2.6098685863273343,10.23580833394783,-0.0097693133166651,183;-295,54614;-88232,America/Toronto
45.51152,-73.52604,9.9,3.499999999689862e-05,-7.000000000090267e-05,0.0,224.32374113290643,224.38702027950163,2.6779450446295896,8.247608820971394,0.0,183;-295,54614;-88232,America/Toronto
45.51146,-73.52601,9.9,0.0001549999999994,-0.00028,0.0,231.39312067116245,231.45639981775764,2.636011598717149,33.3973356223014,0.0,183;-295,54614;-88232,America/Toronto
45.51096,-73.52573,9.9,0.000160000000001,-0.000284999999998,0.0,291.11841237750923,291.1816915241044,2.630036526413834,34.05490585199725,0.0,183;-295,54614;-88231,America/Toronto
45.51089,-73.52569,9.9,0.000124999999997,-0.0002199999999987,0.0,299.50293237515694,299.5662115217521,2.6248975148352844,26.33072981382807,0.0,183;-295,54614;-88231,America/Toronto
45.51052,-73.52548,9.9,0.0001350000000002,-0.0002450000000031,0.0,343.7798720051654,343.84315115176054,2.6379663574704644,29.20786350066481,0.0,183;-295,54613;-88231,America/Toronto
45.5104,-73.52542,9.9,5.5000000003246896e-05,-0.0001099999999993,0.0,357.9186593764866,357.98193852308174,2.6779450445631494,12.96055634891664,0.0,183;-295,54613;-88231,America/Toronto
45.5103,-73.52537,9.9,3.499999999689862e-05,-6.999999999734996e-05,0.0499999999999998,369.70098470299865,369.7642638495938,2.6779450446092885,8.247628048929954,0.006062274775521,183;-295,54613;-88231,America/Toronto
45.51026,-73.52535,10.0,3.499999999689862e-05,-7.499999999893703e-05,0.0499999999999998,374.4139154743465,374.4782554125389,2.704965493804777,8.77496059343008,0.0056979696207373,183;-295,54613;-88231,America/Toronto
45.51015,-73.5253,10.0,5.5000000003246896e-05,-0.0001300000000021,0.0,387.2509058898588,387.3152458280512,2.741351996540663,15.079565179592691,0.0,183;-295,54613;-88231,America/Toronto
45.51,-73.52524,10.0,3.999999999848569e-05,-0.0001150000000009,-0.0499999999999998,404.5730458335319,404.6373857717242,2.8068558162873574,13.17661092187359,-0.0037945842307303,183;-295,54612;-88231,America/Toronto
45.50992,-73.52522,9.9,3.999999999848569e-05,-0.0001350000000002,-0.0499999999999998,413.604127733606,413.6690212983521,2.85353720654992,15.334637096417424,-0.0032605807686034,183;-295,54612;-88231,America/Toronto
45.50973,-73.52516,9.9,3.500000000400405e-05,-0.0001300000000021,0.0,435.2423200263667,435.3072135911128,2.8785979218843725,14.7303729342201,0.0,183;-295,54612;-88231,America/Toronto
45.50966,-73.52515,9.9,2.5000000000829917e-05,-9.000000000014552e-05,0.0499999999999998,443.0648736020462,443.1297671667923,2.870645803243229,10.222450918393577,0.0048911559150615,183;-295,54612;-88231,America/Toronto
45.50955,-73.52511,10.0,2.9999999995311555e-05,-8.499999999855845e-05,0.0499999999999998,455.68722186315387,455.7525115444896,2.802300039179474,9.736827552343897,0.0051350976735801,183;-295,54612;-88231,America/Toronto
45.50949,-73.52509,10.0,1.999999999924285e-05,-6.49999999993156e-05,0.0,462.538528706734,462.60381838806967,2.8430937220112957,7.394721836262562,0.0,183;-295,54612;-88231,America/Toronto
45.50942,-73.52507,10.0,3.500000000400405e-05,-0.000119999999999,-0.0499999999999998,470.476665535679,470.5419552170147,2.8577985443484963,13.619317490599087,-0.0036712394289211,183;-295,54612;-88231,America/Toronto
45.50925,-73.52502,9.9,0.0001049999999978,-0.0003449999999993,-0.0499999999999998,489.77716368793216,489.8427124282002,2.8461518164514,39.22541326115044,-0.001274683139393,183;-295,54612;-88231,America/Toronto
45.50873,-73.52486,9.9,8.499999999855845e-05,-0.0002650000000024,0.0,548.9274920579799,548.9930407982479,2.8312052464650104,30.25407308071729,0.0,183;-295,54611;-88230,America/Toronto
45.50872,-73.52485,9.9,3.0000000002416986e-05,-9.499999999817987e-05,0.0499999999999998,550.2853098493667,550.3508585896348,2.8357137821563048,10.87430859599317,0.0045979610753207,183;-295,54611;-88230,America/Toronto
45.50854,-73.5248,10.0,5.000000000165983e-05,-0.0001749999999987,0.0,570.6761092499662,570.7419031973906,2.863292994573957,19.845654925670654,0.0,183;-295,54611;-88230,America/Toronto
45.50837,-73.52475,9.9,5.000000000165983e-05,-0.0001750000000022,-0.0499999999999998,589.976619700708,590.0426727068997,2.8632929945793197,19.845657240801643,-0.0025194375575729,183;-295,54611;-88230,America/Toronto
45.50819,-73.5247,9.9,4.500000000007276e-05,-0.0001449999999998,0.0,610.3674237315695,610.4334767377611,2.8406724192285973,16.506586196666262,0.0,183;-295,54610;-88230,America/Toronto
45.50808,-73.52466,9.9,7.999999999697138e-05,-0.0002649999999988,0.0,622.9897920940406,623.0558451002322,2.848405757041184,30.12562051563708,0.0,183;-295,54610;-88230,America/Toronto
45.50766,-73.52454,9.9,7.499999999538431e-05,-0.0002449999999996,0.0499999999999998,670.6186647628437,670.6847177690353,2.8445284412655263,27.878008741538736,0.0017935264620676,183;-295,54610;-88230,America/Toronto
45.50759,-73.52451,10.0,5.5000000003246896e-05,-0.0001750000000022,0.0499999999999998,678.745809577118,678.8124777822362,2.8370817703744837,19.939867863222105,0.0025075339288851,183;-295,54610;-88230,America/Toronto
45.50731,-73.52443,10.0,0.0001050000000049,-0.0003549999999989,-0.0499999999999998,710.4984004892879,710.565068694406,2.854016822795866,40.31392217134021,-0.001240265686624,183;-295,54609;-88230,America/Toronto
45.50688,-73.5243,9.9,0.0001049999999978,-0.0003349999999997,0.0,759.3736539197985,759.4404244260694,2.8378581677529717,38.140275171679946,0.0,183;-295,54609;-88230,America/Toronto
45.50664,-73.52422,10.0,0.0001899999999963,-0.0006250000000029,0.0,786.7789508326478,786.845903784793,2.846470186387854,71.05985997907578,0.0,183;-295,54608;-88230,America/Toronto
45.50563,-73.52392,9.9,0.0003900000000029,-0.0013049999999985,0.0,901.49337387795,901.5603704165852,2.851190711038939,148.25812999794482,0.0,183;-295,54607;-88229,America/Toronto
45.50403,-73.52344,10.0,0.0001250000000041,-0.000874999999997,0.0,1083.2952108285374,1083.3622348696429,2.999695598980513,103.1430623857226,0.0,183;-295,54605;-88229,America/Toronto
45.50388,-73.52367,9.9,-0.0001400000000018,-9.000000000014552e-05,-0.0499999999999998,1107.7794986493952,1107.846726902246,-2.1421338066233933,14.806878380599414,-0.0033767961530295,183;-295,54605;-88229,America/Toronto
45.50385,-73.52372,9.9,-4.500000000007276e-05,-3.500000000045134e-05,0.0,1112.9089675897362,1112.976195842587,-2.231839495651049,5.280447834457164,0.0,183;-295,54605;-88229,America/Toronto
45.50381,-73.52376,9.9,-2.5000000000829917e-05,-4.500000000007276e-05,0.0,1118.3403943183096,1118.4076225711603,-2.6344941491840497,5.522763588651856,0.0,183;-295,54605;-88229,America/Toronto
45.50376,-73.52377,9.9,-5.000000001587068e-06,-3.0000000002416986e-05,0.0,1123.95449476704,1124.0217230198907,-2.9764439761367587,3.3630248576643,0.0,183;-295,54605;-88229,America/Toronto
45.50375,-73.52377,9.9,0.0,-2.999999999886427e-05,0.0,1125.0664440336382,1125.133672286489,3.141592653589793,3.33584779944124,0.0,183;-295,54605;-88229,America/Toronto
